Manufacturer,Price,Reference,Fits To,Pipe Diameter,Tailpipe,Tailpipe Diameter,Valve,Notes
Scorpion,2694.24,SAUS087CF,OEM / Scorpion,70mm/2.75,Ascari RS,170 x 120mm,Valved,Valves require OE motors
Scorpion,2895.21,SAU087CF,OEM / Scorpion,70mm/2.75,Ascari RS,170 x 120mm,Valved,Valves require OE motors
Scorpion,336.51,SAUP087,OEM / Scorpion,70mm/2.75,,,,Fits to O.E and Scorpion half system. Removes O.E front silencers.
Scorpion,1750.29,SAUS087,OEM / Scorpion,70mm/2.75,OE Fitment,N/A,Valved,Valves require O.E motors.
Scorpion,1951.25,SAU087,OEM / Scorpion,70mm/2.75,OE Fitment,N/A,Valved,Valves require O.E motors.
Scorpion,829.5,SAUC112,OEM / Scorpion,100mm/4,,,,
Scorpion,1207.5,SAUX112,OEM / Scorpion,100mm/4,,,,
Scorpion,1567.3,SAUS112,OEM / Scorpion,80mm/3.15,OE Fitment,,Valved,
Scorpion,1044.1,SAUS113,OEM / Scorpion,80mm/3.15,OE Fitment,,Non-valved,
Scorpion,546.42,SAUC045,OEM / Scorpion,76mm/3,,,,"Engine management light may be activated, Stage 2 ECU remap recommended"
Scorpion,903.32,SAUX045,OEM / Scorpion,76mm/3,,,,"Engine management light may be activated, Stage 2 ECU remap recommended"
Scorpion,1533.07,SAUS045,OEM / Scorpion,70mm/2.75,Monaco (quad),90mm x 76mm,Valved,Valves require O.E motors.
Scorpion,1652.05,SAUS045D,OEM / Scorpion,70mm/2.75,Daytona,90mm,Valved,Valves require O.E motors.
Scorpion,1771.01,SAU045D,OEM / Scorpion,70mm/2.75,Daytona,90mm,Valved,"Non-GPF Vehicle, valves requires OE motor's"
Scorpion,1652.05,SAU045,OEM Only,70mm/2.75,Monaco (quad),90mm x 76mm,Valved,"Non-GPF Vehicle, valves requires OE motor's"
Scorpion,2093.73,SAUS108CF,OEM / Scorpion,80mm/3.15,Ascari,101mm,Valved,
Scorpion,1828.17,SAUS108,OEM / Scorpion,80mm/3.15,Daytona,101mm,Valved,
Scorpion,1923.3,SAUS108C,OEM / Scorpion,80mm/3.15,Daytona,101mm,Valved,
Scorpion,1640.13,SAUS109CF,OEM / Scorpion,80mm/3.15,Ascari,101mm,Non-valved,
Scorpion,1374.57,SAUS109,OEM / Scorpion,80mm/3.15,Daytona,101mm,Non-valved,
Scorpion,1469.7,SAUS109C,OEM / Scorpion,80mm/3.15,Daytona,101mm,Non-valved,
Scorpion,2266.98,SAU108CF,OEM / Scorpion,80mm/3.15,Ascari,101mm,Valved,
Scorpion,2001.42,SAU108,OEM / Scorpion,80mm/3.15,Daytona,101mm,Valved,
Scorpion,2096.55,SAU108C,OEM / Scorpion,80mm/3.15,Daytona,101mm,Valved,
Scorpion,1813.38,SAU109CF,OEM / Scorpion,80mm/3.15,Ascari,101mm,Non-valved,
Scorpion,1547.82,SAU109,OEM / Scorpion,80mm/3.15,Daytona,101mm,Non-valved,
Scorpion,1642.95,SAU109C,OEM / Scorpion,80mm/3.15,Daytona,101mm,Non-valved,
Scorpion,406.86,SAUC074,OEM / Scorpion,76mm/3,,,,"Engine management light may be activated, Stage 2 ECU remap recommended"
Scorpion,735.2,SAUX074,OEM / Scorpion,76mm/3,,,,"Engine management light may be activated, Stage 2 ECU remap recommended"
Scorpion,712.6,SAUS074,OEM / Scorpion,70mm/2.75,Daytona (twin),90mm,,
Scorpion,770.91,SAUS074C,OEM / Scorpion,70mm/2.75,Daytona (twin),90mm,,
Scorpion,1418.37,SAUS094,,80mm/3.15,Daytona,114mm,Non-valved,
Scorpion,1670.37,SAUS094CF,,80mm/3.15,Ascari,114mm,Non-valved,
Scorpion,1980.58,SAUS093,,80mm/3.15,Daytona,114mm,Valved,
Scorpion,2232.58,SAUS093CF,,80mm/3.15,Ascari,114mm,Valved,
Scorpion,1591.62,SAU094,,80mm/3.15,Daytona,114mm,Non-valved,
Scorpion,1843.62,SAU094CF,,80mm/3.15,Ascari,114mm,Non-valved,
Scorpion,2153.83,SAU093,,80mm/3.15,Daytona,114mm,Valved,
Scorpion,2405.83,SAU093CF,,80mm/3.15,Ascari,114mm,Valved,
Scorpion,2002.31,SAUS098CF,OEM / Scorpion,80mm/3.15,Ascari EVO,170mm x 107mm,Valved,
Scorpion,1934.01,SAUS096,OEM / Scorpion,80mm/3.15,Daytona,101mm,Valved,
Scorpion,2029.14,SAUS096C,OEM / Scorpion,80mm/3.15,Daytona,101mm,Valved,
Scorpion,2199.57,SAUS096CF,OEM / Scorpion,80mm/3.15,Ascari,101mm,Valved,
Scorpion,1424.97,SAUS097,OEM / Scorpion,80mm/3.15,Daytona,101mm,Non-valved,
Scorpion,1520.1,SAUS097C,OEM / Scorpion,80mm/3.15,Daytona,101mm,Non-valved,
Scorpion,1690.53,SAUS097CF,OEM / Scorpion,80mm/3.15,Ascari,101mm,Non-valved,
Scorpion,2175.56,SAU098CF,OEM / Scorpion,80mm/3.15,Ascari EVO,170mm x 107mm,Valved,
Scorpion,2202.39,SAU096C,OEM / Scorpion,80mm/3.15,Daytona,101mm,Valved,
Scorpion,2372.82,SAU096CF,OEM / Scorpion,80mm/3.15,Ascari,101mm,Valved,
Scorpion,1598.22,SAU097,OEM / Scorpion,80mm/3.15,Daytona,101mm,Non-valved,
Scorpion,1693.35,SAU097C,OEM / Scorpion,80mm/3.15,Daytona,101mm,Non-valved,
Scorpion,1863.78,SAU097CF,OEM / Scorpion,80mm/3.15,Ascari,101mm,Non-valved,
Scorpion,1666.52,SAU099CF,OEM / Scorpion,80mm/3.15,Ascari EVO,170mm x 107mm,Non-valved,
Scorpion,1493.27,SAUS099CF,OEM / Scorpion,80mm/3.15,Ascari EVO,170mm x 107mm,Non-valved,
Scorpion,2107.26,SAU096,OEM / Scorpion,80mm/3.15,Daytona,101mm,Valved,
Scorpion,408.45,SAUP106,OEM / Scorpion,63.5mm/2.5,,,,"Removes the centre resonator/silencer from the original exhaust system. Original system requires cutting. Fits with OE or Scorpion front pipes, will not fit with Scorpion half system (SAU044 / SAU044C)"
Scorpion,474.67,SAUP044,OEM / Scorpion,63.5mm/2.5,,,,
Scorpion,1368.1,SAU044,OEM / Scorpion,63.5mm/2.5,Daytona,90mm,,
Scorpion,1463.27,SAU044C,OEM / Scorpion,63.5mm/2.5,Daytona,90mm,,
Scorpion,460.85,SAUC090,OEM / Scorpion,80mm/3.15,,,,
Scorpion,807.35,SAUX090,OEM / Scorpion,80mm/3.15,,,,
Scorpion,1938.41,SAUS090,,76mm/3,Daytona,100mm,Valved,
Scorpion,2203.97,SAUS090CF,,76mm/3,Ascari,100mm,Valved,
Scorpion,1284.09,SAUS091,,76mm/3,Daytona,100mm,Non-valved,
Scorpion,1549.65,SAUS091CF,,76mm/3,Ascari,100mm,Non-valved,
Scorpion,160.55,SAUP090,OEM Only,70mm/2.75,,,,Original system requires cutting
Scorpion,2033.58,SAU090,,76mm/3,Daytona,100mm,Valved,
Scorpion,2299.14,SAU090CF,,76mm/3,Ascari,100mm,Valved,
Scorpion,1379.26,SAU091,,76mm/3,Daytona,100mm,Non-valved,
Scorpion,1644.83,SAU091CF,,76mm/3,Ascari,100mm,Non-valved,
Scorpion,427.09,SAUC040,OEM / Scorpion,76mm/3,,,,"Engine management light may be activated, Stage 2 ECU remap recommended"
Scorpion,688.81,SAUX040,OEM / Scorpion,76mm/3,,,,"Engine management light may be activated, Stage 2 ECU remap recommended"
Scorpion,701.87,SAU040C,OEM / Scorpion,70mm/2.75,Daytona,100mm,,For the 180 model a rear valance insert is required from the 225 model as exhaust is dual exit
Scorpion,654.31,SAU040,OEM / Scorpion,70mm/2.75,Daytona,100mm,,For the 180 model a rear valance insert is required from the 225 model as exhaust is dual exit
Scorpion,427.09,SAUC075,OEM / Scorpion,76mm/3,,,,"Engine management light may be activated, Stage 2 ECU remap recommended"
Scorpion,688.81,SAUX075,OEM / Scorpion,76mm/3,,,,"Engine management light may be activated, Stage 2 ECU remap recommended"
Scorpion,819.64,SAUS042C,OEM / Scorpion,70mm/2.75,Daytona,100mm,,
Scorpion,772.08,SAUS042,OEM / Scorpion,70mm/2.75,Daytona,100mm,,
Scorpion,808.96,SAU042,OEM / Scorpion,70mm/2.75,Daytona,100mm,,
Scorpion,856.52,SAU042C,OEM / Scorpion,70mm/2.75,Daytona,100mm,,
Scorpion,678.86,SAUS057,,70mm/2.75,Daytona,,,
Scorpion,726.42,SAUS057C,,70mm/2.75,Daytona,,,
Scorpion,715.73,SAU057,,70mm/2.75,Daytona,,,
Scorpion,763.3,SAU057C,,70mm/2.75,Daytona,,,
Scorpion,629.32,SAU025M,OEM / Scorpion,63.5mm/2.5,Monaco (quad),90mm x 76mm,,"DUAL EXIT AUDI REAR VALANCE INSERT REQUIRED, CONTACT YOUR AUDI DEALER FOR PRICE."
Scorpion,748.29,SAU025,OEM / Scorpion,63.5mm/2.5,Daytona,90mm,,Dual exit Audi TTS valance required when fitting this product
Scorpion,441.64,SAU024,OEM / Scorpion,63.5mm/2.5,STW (twin),83mm,,
Scorpion,629.32,SAUS032,OEM / Scorpion,76mm/3,Daytona,100mm,,Fits 2WD only. Requires rear valance from 3.2 V6 model
Scorpion,355.7,SAUC032,OEM / Scorpion,76mm/3,,,,"Fits 2WD only. Engine management light may be activated, Stage 2 ECU remap recommended"
Scorpion,684.05,SAUX032,OEM / Scorpion,76mm/3,,,,"Fits 2WD only. Engine management light may be activated, Stage 2 ECU remap recommended"
Scorpion,743.53,SAUS026,OEM / Scorpion,70mm/2.75,Daytona,90mm,,Valance will require cutting when fitting to TT 3.2 V6.
Scorpion,831.57,SAU026,OEM / Scorpion,70mm/2.75,Daytona,90mm,,Valance will require cutting when fitting to TT 3.2 V6.
Scorpion,1153.85,SAUS085,OEM / Scorpion,76mm/3,Daytona,100mm,Valved,Valves require O.E motors. Does not fit roadster
Scorpion,1201.41,SAUS085C,OEM / Scorpion,76mm/3,Daytona,100mm,Valved,Valves require O.E motors. Does not fit roadster
Scorpion,1286.63,SAUS085CF,OEM / Scorpion,76mm/3,Ascari,100mm,Valved,Valves require O.E motors. Does not fit roadster
Scorpion,1031.6,SAUS086CF,OEM / Scorpion,76mm/3,Ascari,100mm,Non-valved,
Scorpion,898.82,SAUS086,OEM / Scorpion,76mm/3,Daytona,100mm,Non-valved,
Scorpion,946.39,SAUS086C,OEM / Scorpion,76mm/3,Daytona,100mm,Non-valved,
Scorpion,1269.35,SAU085,OEM / Scorpion,76mm/3,Daytona,100mm,Valved,Valves require O.E motors. Does not fit roadster
Scorpion,1316.91,SAU085C,OEM / Scorpion,76mm/3,Daytona,100mm,Valved,Valves require O.E motors. Does not fit roadster
Scorpion,1402.13,SAU085CF,OEM / Scorpion,76mm/3,Ascari,100mm,Valved,Valves require O.E motors. Does not fit roadster
Scorpion,1014.32,SAU086,OEM / Scorpion,76mm/3,Daytona,100mm,Non-valved,
Scorpion,1061.89,SAU086C,OEM / Scorpion,76mm/3,Daytona,100mm,Non-valved,
Scorpion,1147.1,SAU086CF,OEM / Scorpion,76mm/3,Ascari,100mm,Non-valved,
Scorpion,980.6,SAUC077,OEM / Scorpion,,,,,"Engine management light may be activated, Stage 2 ECU remap recommended"
Scorpion,1270.5,SAUX077,OEM / Scorpion,90mm/3.55,,,,"Engine management light may be activated, Stage 2 ECU remap recommended"
Scorpion,1153.85,SAU077,OEM / Scorpion,80mm/3.15,OE Fitment,N/A,Valved,
Scorpion,208.18,SAUX027,OEM / Scorpion,63.5mm/2.5,,,,"Fits to original downpipe only. Will not fit to Scorpion part numbers: SAUC077 and SAUX077, Engine management light may be activated, Stage 2 ECU remap recommended"
Scorpion,79.7,SAU077VR,Scorpion Only,63.5mm/2.5,,,,"Gives option of having a none valved system, Fits with SAU077 only. Removing the valve will invalidate EC aprroval"
Scorpion,355.7,SAUC026,OEM / Scorpion,70mm/2.75,,,,"Engine management light may be activated, Stage 2 ECU remap recommended"
Scorpion,684.04,SAUX026,OEM / Scorpion,70mm/2.75,,,,"Engine management light may be activated, Stage 2 ECU remap recommended"
Scorpion,446.12,SAUC055,OEM / Scorpion,76mm/3,,,,"Engine management light may be activated, Stage 2 ECU remap recommended"
Scorpion,794.69,SAUX055,OEM / Scorpion,76mm/3,,,,"Engine management light may be activated, Stage 2 ECU remap recommended"
Scorpion,1688.12,SAUS055,OEM / Scorpion,76mm/3,EVO,114mm x 89mm,Valved,Valves require O.E motors. Does not fit TTS Roadster
Scorpion,1830.87,SAU055,OEM / Scorpion,76mm/3,EVO,114mm x 89mm,Valved,Valves require O.E motors. Does not fit TTS Roadster
Scorpion,1990.49,SAU081CF,OEM / Scorpion,80mm/3.15,Ascari EVO,170mm x 107mm,Valved,Valves require O.E motors. Does not fit Roadster.
Scorpion,1528.49,SAU082CF,OEM / Scorpion,80mm/3.15,Ascari EVO,170mm x 107mm,Non-valved,Does not fit Roadster.
Scorpion,1897.88,SAUS081CF,OEM / Scorpion,80mm/3.15,Ascari EVO,170mm x 107mm,Valved,"Valves require O.E motors. Does not fit Roadster.
If fitting with sports cat or decat downpipe we STRONGLY recommend the resonated system instead."
Scorpion,1435.88,SAUS082CF,OEM / Scorpion,80mm/3.15,Ascari EVO,170mm x 107mm,Non-valved,"Does not fit Roadster.
If fitting with sports cat or decat downpipe we STRONGLY recommend the resonated system instead."
Scorpion,1101.45,SBM085,OEM / Scorpion,70mm/2.75,Daytona,114mm,,
Scorpion,1227.45,SBM085CF,OEM / Scorpion,70mm/2.75,Ascari,114mm,,
Scorpion,261.45,SBMP085,OEM / Scorpion,70mm/2.75,,,,Original system requires cutting unless fitting at same time as GPF-back system. Will bring on Check Engine light unless you have a remap that removes it.
Scorpion,282.45,SBMP092,OEM / Scorpion,76mm/3,,,,Original system requires cutting. Will require a remap to prevent EML.
Scorpion,1089.86,SBM092CF,OEM / Scorpion,76mm/3,Ascari,100mm,,Original system requires cutting
Scorpion,957.08,SBM092,OEM / Scorpion,76mm/3,Daytona,100mm,,Original system requires cutting
Scorpion,1004.64,SBM092C,OEM / Scorpion,76mm/3,Daytona,100mm,,Original system requires cutting
Scorpion,1209.24,SBMS094,OEM / Scorpion,80mm/3.15,Daytona,90mm,Valved,
Scorpion,1267.56,SBMS094C,OEM / Scorpion,80mm/3.15,Daytona,90mm,Valved,
Scorpion,1365.36,SBMS094CF,OEM / Scorpion,80mm/3.15,Ascari,90mm,Valved,
Scorpion,321.21,SBMP094,OEM Only,80mm/3.15,,,,Removes the OEM resonators. Fits with OEM or M Performance rear silencer.
Scorpion,436.7,SBM005,OEM Only,44.5mm/1.75,Lemans,76mm,,Models with 2 piece O.E. system only. Will fit with O.E. Sport body kit.
Scorpion,622.89,SBM012,OEM / Scorpion,44.5mm/1.75,Lemans,76mm,,Models with 3 piece O.E. system only. Will fit with O.E. Sport body kit. Will fit Auto
Scorpion,316.12,SBMB002,OEM Only,44.5mm/1.75,Lemans,76mm,,Models with 3 piece O.E. system only. Will fit with O.E. Sport body kit. Will fit Auto
Scorpion,810.78,SBM016,OEM / Scorpion,44.5mm/1.75,Lemans,76mm,,"Models with 2 piece O.E. system only. Will fit with O.E. Sport body kit.
Original flange, compression ring and olive from OEM exhaust are required to fit our front pipes to our centre section. If these are not available or need replacing then they will need to be purchased from a BMW parts department."
Scorpion,537.18,SBM010S,OEM / Scorpion,50.8mm/2,STW (twin),76mm,,
Scorpion,547,SBM096S,OEM / Scorpion,50.8mm/2,STW,76mm,,"Uses original gasket and sealing ring. If your originals aren't reusable the BMW part numbers are 18111723721 (gasket), 18111719446 (ring)."
Scorpion,577,SBM096DTM,OEM / Scorpion,50.8mm/2,DTM,76mm,,"Uses original gasket and sealing ring. If your originals aren't reusable the BMW part numbers are 18111723721 (gasket), 18111719446 (ring)."
Scorpion,564.14,SBM011,OEM / Scorpion,63.5mm/2.5,STW (twin),76mm,,
Scorpion,547.13,SBM051,OEM / Scorpion,63.5mm/2.5,Monaco (twin),90 x 76mm,,
Scorpion,402.69,SBMB051,OEM / Scorpion,63.5mm/2.5,Monaco (twin),90 x 76mm,,Single inlet pipe
Scorpion,402.69,SBMB052,OEM / Scorpion,63.5mm/2.5,Monaco (twin),90 x 76mm,,Single inlet pipe
Scorpion,1256.37,SBM093DT,OEM / Scorpion,50.8mm/2,Downturn,70mm,,
Scorpion,1053.38,SBM093,OEM / Scorpion,50.8mm/2,Monaco,90 x 76mm,,
Scorpion,1164.51,SBM093D,OEM / Scorpion,50.8mm/2,Daytona,83mm,,
Scorpion,1092.57,SBM093DTM,OEM / Scorpion,50.8mm/2,DTM,80mm,,
Scorpion,447.51,SBMB048,OEM Only,50.8mm/2,Monaco,90 x 76mm,,Fits to OE system only
Scorpion,114.45,SBM093B2,OEM / Scorpion,,,,,
Scorpion,63,SBM093B,OEM / Scorpion,,,,,
Scorpion,355.7,SBMC050,OEM / Scorpion,63.5mm/2.5,,,,"Engine management light may be activated, Stage 2 ECU remap recommended"
Scorpion,1278.87,SBM050,OEM / Scorpion,63.5mm/2.5,Daytona,83mm,,OE Gasket will be required to fit.
Scorpion,653.12,SBMR050,OEM / Scorpion,63.5mm/2.5,,,,"Replaces OE centre section. Also fits to standard rear silencer, OE Gasket will be required to fit."
Scorpion,632.37,SBMB050,OEM / Scorpion,63.5mm/2.5,Daytona,83mm,,
Scorpion,802.27,SBM061M,OEM / Scorpion,63.5mm/2.5,Monaco,90 x 76mm,,
Scorpion,740.45,SBM064M,OEM / Scorpion,63.5mm/2.5,Monaco,90 x 76mm,,
Scorpion,950.52,SBMB062,OEM / Scorpion,70mm/2.75,Daytona,90mm,,
Scorpion,230.84,SBMP082,Scorpion Only,80mm/3.15,,,,Removes OE GPF. Fits to Scorpion GPF-back only.
Scorpion,845.15,SBMS082,OEM / Scorpion,80mm/3.15,Daytona,100mm,Valved,Valve requires O.E motor. Original system requires cutting.
Scorpion,991.05,SBMS082CF,OEM / Scorpion,80mm/3.15,Ascari,100mm,Valved,Valve requires O.E motor. Original system requires cutting.
Scorpion,2021.21,SBMS073,OEM / Scorpion,70mm/2.75,Daytona,90mm,Valved,The original system requires cutting un-less fitting with SBMC073 or SBMX073
Scorpion,2137.8,SBMS073C,OEM / Scorpion,70mm/2.75,Daytona,90mm,Valved,The original system requires cutting unless fitting with SBMC073 or SBMX073
Scorpion,2333.45,SBMS073CF,OEM / Scorpion,70mm/2.75,Ascari,90mm,Valved,The original system requires cutting un-less fitting with SBMC073 or SBMX073
Scorpion,331.92,SBMC073,OEM / Scorpion,70mm/2.75,,,,"Engine management light may be activated, Stage 2 ECU remap recommended. Original system requires cutting unless fitted with SBMS073 or SBMS073C"
Scorpion,998.12,SBMX073,OEM / Scorpion,70mm/2.75,,,,"Engine management light may be activated, Stage 2 ECU remap recommended. OE system requires cutting unless fitting SBMS073 or SBMS073C"
Scorpion,267.68,SBMC066,OEM / Scorpion,76mm/3,,,,"Pre June 2013, Engine management light may be activated, Stage 2 ECU remap recommended"
Scorpion,1010.02,SBM066,OEM / Scorpion,76mm/3,Daytona,90mm,,Pre June 2013 Facelift
Scorpion,1069.5,SBM066C,OEM / Scorpion,76mm/3,Daytona,90mm,,Pre June 2013 Facelift
Scorpion,267.68,SBMC067,OEM / Scorpion,76mm/3,,,,"Post June 2013, Engine management light may be activated, Stage 2 ECU remap recommended"
Scorpion,366.45,SBMC083,OEM / Scorpion,,,,,
Scorpion,765.45,SBMX083,OEM / Scorpion,70mm/2.75,,,,
Scorpion,261.45,SBMP083,OEM / Scorpion,70mm/2.75,,,,
Scorpion,1046.78,SBM083,OEM / Scorpion,70mm/2.75,Daytona,114mm,Valved,Original system requires cutting unless fitting with SBMP083
Scorpion,1159.82,SBM083C,OEM / Scorpion,70mm/2.75,Daytona,114mm,Valved,Original system requires cutting unless fitting with SBMP083
Scorpion,1046.78,SBM083I,OEM / Scorpion,70mm/2.75,Indy,114mm,Valved,Original system requires cutting unless fitting with SBMP083
Scorpion,1159.82,SBM083IC,OEM / Scorpion,70mm/2.75,Indy,114mm,Valved,Original system requires cutting unless fitting with SBMP083
Scorpion,1129.35,SBM083CF,OEM / Scorpion,70mm/2.75,Ascari,114mm,Valved,Original system requires cutting unless fitting with SBMP083
Scorpion,517.02,SBMC074,OEM / Scorpion,100mm/4,,,,"Engine management light may be activated, Stage 2 ECU remap recommended"
Scorpion,786.45,SBMX074,OEM / Scorpion,100mm/4,,,,"Engine management light may be activated, Stage 2 ECU remap recommended"
Scorpion,1086.87,SBMS076,OEM / Scorpion,80mm/3.15,Daytona,90mm,,Valves require O.E motors.
Scorpion,1134.43,SBMS076C,OEM / Scorpion,80mm/3.15,Daytona,90mm,,Valves require O.E motors.
Scorpion,1219.65,SBMS076CF,OEM / Scorpion,80mm/3.15,Ascari,90mm,,Valves require O.E motors.
Scorpion,403.78,SBMP076,OEM Only,80mm/3.15,,,,Removes OE Resonator
Scorpion,403.78,SBMP086,OEM Only,80mm/3.15,,,,Removes OE Resonator & GPF if fitted. Fits to OE Back Box Only. For Motorsport use only. 
Scorpion,397.95,SBMP081,OEM / Scorpion,70mm/2.75,,,,
Scorpion,2378.39,SBMS081CF,OEM / Scorpion,70mm/2.75,Ascari,90mm,Valved,
Scorpion,2066.15,SBMS081,OEM / Scorpion,70mm/2.75,Daytona,90mm,Valved,
Scorpion,2019.39,SBM075,OEM / Scorpion,80mm/3.15,Daytona,90mm,Valved,Valves require O.E motors.
