Manufacturer,Price,Reference,Name,Range
Tein,204,SKGF6-S5B00,AUDI A4L (B9) B9 TEIN SPRINGS S.TECH,STECH
Tein,876,VSGF6-C1AA3,AUDI A4L (B9) B9 TEIN COILOVERS FLEX Z,FLEX-Z
Tein,684,GSAGL-91AA2,AUDI A6L (C7) C7 TEIN COILOVERS STREET ADVANCE Z,STREET-ADVANCE-Z
Tein,180,SKG08-S3B00,AUDI S4 B5S TEIN SPRINGS S.TECH,STECH
Tein,468,VSGB4-A1DS2,AUDI A4 B8 TEIN  ABSORBERS ENDURAPRO,ENDURAPRO
Tein,540,VSGB4-B1DS2,AUDI A4 B8 TEIN  ABSORBERS ENDURAPRO PLUS,ENDURAPRO-PLUS
Tein,468,VSGF6-A1DS2,AUDI A4 B9 TEIN  ABSORBERS ENDURAPRO,ENDURAPRO
Tein,540,VSGF6-B1DS2,AUDI A4 B9 TEIN  ABSORBERS ENDURAPRO PLUS,ENDURAPRO-PLUS
Tein,540,VSAJE-B1DS2,AUDI A6 C8 TEIN  ABSORBERS ENDURAPRO PLUS,ENDURAPRO-PLUS
Tein,672,GSJ14-91AS2,BMW 1SERIES (E87) UF16 TEIN COILOVERS STREET ADVANCE Z,STREET-ADVANCE-Z
Tein,720,GSGA8-91AS3,BMW 1SERIES (F21) F21 TEIN COILOVERS STREET ADVANCE Z,STREET-ADVANCE-Z
Tein,192,SKG88-AUB00,BMW 3SERIES (E36) E36 TEIN SPRINGS S.TECH,STECH
Tein,192,SKG88-S3B00,BMW 3SERIES (E36) E36 TEIN SPRINGS S.TECH,STECH
Tein,180,SKG72-S3B00,BMW 3SERIES (E46) E46 TEIN SPRINGS S.TECH,STECH
Tein,168,SKJ14-S3B00,BMW 3SERIES (E90) E90 TEIN SPRINGS S.TECH,STECH
Tein,204,SKGA8-S3B00,BMW 3SERIES (F30) F30 TEIN SPRINGS S.TECH,STECH
Tein,204,SKGA8-S5B00,BMW 3SERIES (F30) F30 TEIN SPRINGS S.TECH,STECH
Tein,984,VSGH8-C1AA3,BMW 3SERIES (G20) G20 TEIN COILOVERS FLEX Z,FLEX-Z
Tein,984,VSGH8-C1AS3,BMW 3SERIES (G20) G20 TEIN COILOVERS FLEX Z,FLEX-Z
Tein,720,GSGH8-91AS3,BMW 3SERIES (G28) G28 TEIN COILOVERS STREET ADVANCE Z,STREET-ADVANCE-Z
Tein,852,GSV10-91AS2,BMW 3SERIES SEDAN (E46) AM25 TEIN COILOVERS STREET ADVANCE Z,STREET-ADVANCE-Z
Tein,984,VSGA8-C1AS3,BMW 3SERIES SEDAN (F30) 3A20 TEIN COILOVERS FLEX Z,FLEX-Z
Tein,624,GSGA2-91SS2,BMW 5SERIES (F10) F10 TEIN COILOVERS STREET ADVANCE Z,STREET-ADVANCE-Z
Tein,1008,VSGA2-C1SA3,BMW 5SERIES (F10) F10 TEIN COILOVERS FLEX Z,FLEX-Z
Tein,636,GSGG6-91SS2,BMW 5SERIES (G30) G30 TEIN COILOVERS STREET ADVANCE Z,STREET-ADVANCE-Z
Tein,192,SKGG6-S3B00,BMW 5SERIES (G30) G30 TEIN SPRINGS S.TECH,STECH
Tein,192,SKGG6-S5B00,BMW 5SERIES (G30) G30 TEIN SPRINGS S.TECH,STECH
Tein,828,VSGG6-C1SA3,BMW 5SERIES (G38) G38 TEIN COILOVERS FLEX Z,FLEX-Z
Tein,180,SKG76-AUB00,BMW M3 (E36) E36 TEIN SPRINGS S.TECH,STECH
Tein,180,SKG76-S3B00,BMW M3 (E36) E36 TEIN SPRINGS S.TECH,STECH
Tein,672,GSG68-91AS2,BMW M3 (E46) E46 TEIN COILOVERS STREET ADVANCE Z,STREET-ADVANCE-Z
Tein,192,SKG68-AVB00,BMW M3 (E46) E46 TEIN SPRINGS S.TECH,STECH
Tein,192,SKG68-S3B00,BMW M3 (E46) E46 TEIN SPRINGS S.TECH,STECH
Tein,180,SKGL0-AUB00,BMW M3 (F80) F80 TEIN SPRINGS S.TECH,STECH
Tein,480,VSV10-A1DS2,BMW 3SERIES E46 TEIN  ABSORBERS ENDURAPRO,ENDURAPRO
Tein,552,VSV10-B1DS2,BMW 3SERIES E46 TEIN  ABSORBERS ENDURAPRO PLUS,ENDURAPRO-PLUS
Tein,456,VSJ14-A1DS2,BMW 3SERIES E90 TEIN  ABSORBERS ENDURAPRO,ENDURAPRO
Tein,528,VSJ14-B1DS2,BMW 3SERIES E90 TEIN  ABSORBERS ENDURAPRO PLUS,ENDURAPRO-PLUS
Tein,480,VSGA8-A1DS2,BMW 3SERIES F30(2WD) TEIN  ABSORBERS ENDURAPRO,ENDURAPRO
Tein,684,VSGA8-B1DS3,BMW 3SERIES F30(2WD) TEIN  ABSORBERS ENDURAPRO PLUS,ENDURAPRO-PLUS
Tein,684,VSAFX-B1DS3,BMW 3SERIES F30(4WD) TEIN  ABSORBERS ENDURAPRO PLUS,ENDURAPRO-PLUS
Tein,684,VSAJS-B1DS3,BMW 3SERIES G20 TEIN  ABSORBERS ENDURAPRO PLUS,ENDURAPRO-PLUS
Tein,480,VSGH8-A1DS2,BMW 3SERIES G20 TEIN  ABSORBERS ENDURAPRO,ENDURAPRO
Tein,684,VSGH8-B1DS3,BMW 3SERIES G20 TEIN  ABSORBERS ENDURAPRO PLUS,ENDURAPRO-PLUS
Tein,504,VSV14-A1DS2,BMW 5SERIES E60 TEIN  ABSORBERS ENDURAPRO,ENDURAPRO
Tein,576,VSV14-B1DS2,BMW 5SERIES E60 TEIN  ABSORBERS ENDURAPRO PLUS,ENDURAPRO-PLUS
Tein,564,VSGA2-A1DS2,BMW 5SERIES F10 TEIN  ABSORBERS ENDURAPRO,ENDURAPRO
Tein,636,VSGA2-B1DS2,BMW 5SERIES F10 TEIN  ABSORBERS ENDURAPRO PLUS,ENDURAPRO-PLUS
Tein,540,VSGG6-A1DS2,BMW 5SERIES G30 TEIN  ABSORBERS ENDURAPRO,ENDURAPRO
Tein,624,VSGG6-B1DS2,BMW 5SERIES G30 TEIN  ABSORBERS ENDURAPRO PLUS,ENDURAPRO-PLUS
Tein,456,VSABC-A1DS2,BMW X1 E84(2WD) TEIN  ABSORBERS ENDURAPRO,ENDURAPRO
Tein,528,VSABC-B1DS2,BMW X1 E84(2WD) TEIN  ABSORBERS ENDURAPRO PLUS,ENDURAPRO-PLUS
Tein,528,VSADJ-B1DS2,BMW X1 E84(4WD) TEIN  ABSORBERS ENDURAPRO PLUS,ENDURAPRO-PLUS
Tein,528,VSAAX-B1DS3,BMW X1 F48 TEIN  ABSORBERS ENDURAPRO PLUS,ENDURAPRO-PLUS
Tein,492,VSAAL-A1DS2,BMW X3 F25 TEIN  ABSORBERS ENDURAPRO,ENDURAPRO
Tein,564,VSAAL-B1DS2,BMW X3 F25 TEIN  ABSORBERS ENDURAPRO PLUS,ENDURAPRO-PLUS
Tein,504,VSAEG-A1DS2,BMW X3 G01 TEIN  ABSORBERS ENDURAPRO,ENDURAPRO
Tein,516,VSGQ2-A1DS2,BMW X5 E53 TEIN  ABSORBERS ENDURAPRO,ENDURAPRO
Tein,588,VSGQ2-B1DS2,BMW X5 E53 TEIN  ABSORBERS ENDURAPRO PLUS,ENDURAPRO-PLUS
Tein,480,VSGM4-A1DS2,BMW X5 E70 TEIN  ABSORBERS ENDURAPRO,ENDURAPRO
Tein,552,VSGM4-B1DS2,BMW X5 E70 TEIN  ABSORBERS ENDURAPRO PLUS,ENDURAPRO-PLUS
Tein,552,VSAEN-B1DS2,BMW X5 F15 TEIN  ABSORBERS ENDURAPRO PLUS,ENDURAPRO-PLUS
Tein,408,VSF86-A1DS2,CHEVROLET TRALIBLAZER - TEIN  ABSORBERS ENDURAPRO,ENDURAPRO
Tein,720,GSM90-91AS3,FORD FIESTA JA8 TEIN COILOVERS STREET ADVANCE Z,STREET-ADVANCE-Z
Tein,768,GSGB6-9VAS3,FORD FIESTA ST JA8 TEIN COILOVERS STREET ADVANCE Z,STREET-ADVANCE-Z
Tein,168,SKG40-S3B00,FORD FOCUS DAW TEIN SPRINGS S.TECH,STECH
Tein,768,GSM80-91AS3,FORD FOCUS DA3 TEIN COILOVERS STREET ADVANCE Z,STREET-ADVANCE-Z
Tein,180,SKM98-G1B00,FORD FOCUS DA3 TEIN SPRINGS HIGH.TECH,HIGHTECH
Tein,180,SKGD2-AVB00,FORD FOCUS RS MK3 TEIN SPRINGS S.TECH,STECH
Tein,144,SKGB2-AUB00,FORD FOCUS ST C346 TEIN SPRINGS S.TECH,STECH
Tein,144,SKGB2-S3B00,FORD FOCUS ST C346 TEIN SPRINGS S.TECH,STECH
Tein,768,GSGC0-8UAS2,FORD MUSTANG S550 TEIN COILOVERS STREET BASIS Z,STREET-BASIS-Z
Tein,216,SKGC0-AUB00,FORD MUSTANG S550 TEIN SPRINGS S.TECH,STECH
Tein,984,VSGC0-C1AS1,FORD MUSTANG S550 TEIN COILOVERS FLEX Z,FLEX-Z
Tein,816,VSGF4-F1SS2,FORD RANGER PX1/PX2(T6) TEIN DAMPERS 4X4 DAMPER SPORT,4X4-DAMPER-SPORT
Tein,816,VSGJ6-F1SS2,FORD RANGER PX3(T7) TEIN DAMPERS 4X4 DAMPER SPORT,4X4-DAMPER-SPORT
Tein,456,VSGB6-A1DS2,FORD FIESTA ST JA8 TEIN  ABSORBERS ENDURAPRO,ENDURAPRO
Tein,552,VSGB6-B1DS3,FORD FIESTA ST JA8 TEIN  ABSORBERS ENDURAPRO PLUS,ENDURAPRO-PLUS
Tein,456,VSF84-A1DS2,FORD FOCUS 3RD(C346) TEIN  ABSORBERS ENDURAPRO,ENDURAPRO
Tein,636,VSF84-B1DS3,FORD FOCUS 3RD(C346) TEIN  ABSORBERS ENDURAPRO PLUS,ENDURAPRO-PLUS
Tein,636,VSAHN-B1DS3,FORD FOCUS C346 TEIN  ABSORBERS ENDURAPRO PLUS,ENDURAPRO-PLUS
Tein,456,VSAEV-A1DS2,FORD KUGA C520 TEIN  ABSORBERS ENDURAPRO,ENDURAPRO
Tein,552,VSGH4-A1DS2,FORD MONDEO MK5(CD391) TEIN  ABSORBERS ENDURAPRO,ENDURAPRO
Tein,624,VSGH4-B1DS2,FORD MONDEO MK5(CD391) TEIN  ABSORBERS ENDURAPRO PLUS,ENDURAPRO-PLUS
Tein,504,VSGC0-A1DS2,FORD MUSTANG S550 TEIN  ABSORBERS ENDURAPRO,ENDURAPRO
Tein,576,VSGC0-B1DS2,FORD MUSTANG S550 TEIN  ABSORBERS ENDURAPRO PLUS,ENDURAPRO-PLUS
Tein,552,VSGF4-A1DS2,FORD RANGER T6 TEIN  ABSORBERS ENDURAPRO,ENDURAPRO
Tein,552,VSGJ6-A1DS2,FORD RANGER T7 TEIN  ABSORBERS ENDURAPRO,ENDURAPRO
Tein,228,SKH94-S3B00,HONDA ACCORD CG1 TEIN SPRINGS S.TECH,STECH
Tein,804,VSH02-C1SA3,HONDA ACCORD CL1 TEIN COILOVERS FLEX Z,FLEX-Z
Tein,804,VSH02-C1SS3,HONDA ACCORD CL1 TEIN COILOVERS FLEX Z,FLEX-Z
Tein,180,SKA50-S3B00,HONDA ACCORD CM5 TEIN SPRINGS S.TECH,STECH
Tein,588,GSHD6-8USS2,HONDA ACCORD CR2 TEIN COILOVERS STREET BASIS Z,STREET-BASIS-Z
Tein,672,GSHD6-9USS2,HONDA ACCORD CR2 TEIN COILOVERS STREET ADVANCE Z,STREET-ADVANCE-Z
Tein,144,SKA36-AUB00,HONDA CIVIC ED6 TEIN SPRINGS S.TECH,STECH
Tein,144,SKA36-S3B00,HONDA CIVIC ED6 TEIN SPRINGS S.TECH,STECH
Tein,552,GSA36-8USS2,HONDA CIVIC ED6 TEIN COILOVERS STREET BASIS Z,STREET-BASIS-Z
Tein,624,GSA36-9USS2,HONDA CIVIC ED6 TEIN COILOVERS STREET ADVANCE Z,STREET-ADVANCE-Z
Tein,624,GSH48-91SS2,HONDA CIVIC EG6 TEIN COILOVERS STREET ADVANCE Z,STREET-ADVANCE-Z
Tein,168,SKH26-S1B00,HONDA CIVIC EG6 TEIN SPRINGS S.TECH,STECH
Tein,168,SKH26-S3B00,HONDA CIVIC EG6 TEIN SPRINGS S.TECH,STECH
Tein,552,GSA00-8USS2,HONDA CIVIC EH2 TEIN COILOVERS STREET BASIS Z,STREET-BASIS-Z
Tein,624,GSA00-9USS2,HONDA CIVIC EH2 TEIN COILOVERS STREET ADVANCE Z,STREET-ADVANCE-Z
Tein,126,SKA00-S3B00,HONDA CIVIC EH2 TEIN SPRINGS S.TECH,STECH
Tein,1320,GSH00-71SS1,HONDA CIVIC EK2 TEIN COILOVERS MONO SPORT,MONO-SPORT
Tein,804,VSH00-C1SS3,HONDA CIVIC EK2 TEIN COILOVERS FLEX Z,FLEX-Z
Tein,1560,VSH00-K1LS1,HONDA CIVIC EK2 TEIN COILOVERS MONO RACING,MONO-RACING
Tein,156,SKH36-AVB00,HONDA CIVIC EJ TEIN SPRINGS S.TECH,STECH
Tein,552,GSH98-8USS2,HONDA CIVIC EJ6 TEIN COILOVERS STREET BASIS Z,STREET-BASIS-Z
Tein,624,GSH98-9USS2,HONDA CIVIC EJ6 TEIN COILOVERS STREET ADVANCE Z,STREET-ADVANCE-Z
Tein,576,GSA22-8USS2,HONDA CIVIC EM2 TEIN COILOVERS STREET BASIS Z,STREET-BASIS-Z
Tein,660,GSA22-9USS2,HONDA CIVIC EM2 TEIN COILOVERS STREET ADVANCE Z,STREET-ADVANCE-Z
Tein,132,SKA22-S3B00,HONDA CIVIC EM2 TEIN SPRINGS S.TECH,STECH
Tein,1092,VSA22-CUSA1,HONDA CIVIC EM2 TEIN COILOVERS FLEX Z,FLEX-Z
Tein,204,SKA92-S3B00,HONDA CIVIC EP3 TEIN SPRINGS S.TECH,STECH
Tein,168,SKHA2-S1B00,HONDA CIVIC FN2 TEIN SPRINGS S.TECH,STECH
Tein,168,SKHA2-S3B00,HONDA CIVIC FN2 TEIN SPRINGS S.TECH,STECH
Tein,984,VSHA2-C1AA1,HONDA CIVIC FN2 TEIN COILOVERS FLEX Z,FLEX-Z
Tein,984,VSHA2-C1AS1,HONDA CIVIC FN2 TEIN COILOVERS FLEX Z,FLEX-Z
Tein,648,GSHH6-8UAS2,HONDA CIVIC FC1 TEIN COILOVERS STREET BASIS Z,STREET-BASIS-Z
Tein,720,GSHH6-9UAS3,HONDA CIVIC FC1 TEIN COILOVERS STREET ADVANCE Z,STREET-ADVANCE-Z
Tein,168,SKHH6-AUB00,HONDA CIVIC FC1 TEIN SPRINGS S.TECH,STECH
Tein,168,SKHH6-S3B00,HONDA CIVIC FC1 TEIN SPRINGS S.TECH,STECH
Tein,1008,VSHH6-CUAA4,HONDA CIVIC FC1 TEIN COILOVERS FLEX Z,FLEX-Z
Tein,648,GSAA6-8UAS2,HONDA CIVIC FK7 TEIN COILOVERS STREET BASIS Z,STREET-BASIS-Z
Tein,1008,VSAA6-CUAS4,HONDA CIVIC FK7 TEIN COILOVERS FLEX Z,FLEX-Z
Tein,984,VSAFV-CUAA4,HONDA CIVIC FL1 TEIN COILOVERS FLEX Z,FLEX-Z
Tein,204,SKA12-AVB00,HONDA CIVIC TYPE R EP3 TEIN SPRINGS S.TECH,STECH
Tein,900,VSB56-C1AA1,HONDA CIVIC TYPE R FD2 TEIN COILOVERS FLEX Z,FLEX-Z
Tein,900,VSB56-C1AS1,HONDA CIVIC TYPE R FD2 TEIN COILOVERS FLEX Z,FLEX-Z
Tein,192,SKHK8-S1B00,HONDA CIVIC TYPE R FK8 TEIN SPRINGS S.TECH,STECH
Tein,192,SKHK8-S3B00,HONDA CIVIC TYPE R FK8 TEIN SPRINGS S.TECH,STECH
Tein,2400,VSHK8-K1NS4,HONDA CIVIC TYPE R FK8 TEIN COILOVERS MONO RACING,MONO-RACING
Tein,672,GSHA2-91AS2,HONDA CIVIC TYPE R EURO FN2 TEIN COILOVERS STREET ADVANCE Z,STREET-ADVANCE-Z
Tein,624,GSHA6-81AS2,HONDA CR-Z ZF1 TEIN COILOVERS STREET BASIS Z,STREET-BASIS-Z
Tein,192,SKHA6-G1B00,HONDA CR-Z ZF1 TEIN SPRINGS HIGH.TECH,HIGHTECH
Tein,192,SKHA6-S3B00,HONDA CR-Z ZF1 TEIN SPRINGS S.TECH,STECH
Tein,900,VSHA6-C1AS2,HONDA CR-Z ZF1 TEIN COILOVERS FLEX Z,FLEX-Z
Tein,648,GSA94-81AS2,HONDA ELYSION RR1 TEIN COILOVERS STREET BASIS Z,STREET-BASIS-Z
Tein,876,VSA94-C1AS3,HONDA ELYSION RR1 TEIN COILOVERS FLEX Z,FLEX-Z
Tein,900,VSA04-C1AS2,HONDA FIT GD1 TEIN COILOVERS FLEX Z,FLEX-Z
Tein,624,GSB80-81AS2,HONDA FIT GE6 TEIN COILOVERS STREET BASIS Z,STREET-BASIS-Z
Tein,672,GSB80-91AS2,HONDA FIT GE6 TEIN COILOVERS STREET ADVANCE Z,STREET-ADVANCE-Z
Tein,552,GSHB2-81AA2,HONDA FIT GE6 TEIN COILOVERS STREET BASIS Z,STREET-BASIS-Z
Tein,600,GSHB2-91AA2,HONDA FIT GE6 TEIN COILOVERS STREET ADVANCE Z,STREET-ADVANCE-Z
Tein,900,VSB80-C1AS2,HONDA FIT GE6 TEIN COILOVERS FLEX Z,FLEX-Z
Tein,900,VSHB2-C1AA2,HONDA FIT GE6 TEIN COILOVERS FLEX Z,FLEX-Z
Tein,168,SKB74-S5B00,HONDA FIT GE8 TEIN SPRINGS S.TECH,STECH
Tein,168,SKB36-S3B00,HONDA FIT GD3 TEIN SPRINGS S.TECH,STECH
Tein,624,GSHD8-81AS2,HONDA FIT GK3 TEIN COILOVERS STREET BASIS Z,STREET-BASIS-Z
Tein,900,VSHD8-C1AA2,HONDA FIT GK3 TEIN COILOVERS FLEX Z,FLEX-Z
Tein,900,VSHD8-C1AS2,HONDA FIT GK3 TEIN COILOVERS FLEX Z,FLEX-Z
Tein,1680,GSA02-71SS1,HONDA INTEGRA DC5 TEIN COILOVERS MONO SPORT,MONO-SPORT
Tein,576,GSA70-81SS2,HONDA ODYSSEY RB1 TEIN COILOVERS STREET BASIS Z,STREET-BASIS-Z
Tein,192,SKA62-C3B00,HONDA ODYSSEY RB1 TEIN SPRINGS S.TECH,STECH
Tein,804,VSA70-C1SA3,HONDA ODYSSEY RB1 TEIN COILOVERS FLEX Z,FLEX-Z
Tein,552,GSH92-8USS2,HONDA PRELUDE BB1 TEIN COILOVERS STREET BASIS Z,STREET-BASIS-Z
Tein,624,GSH92-9USS2,HONDA PRELUDE BB1 TEIN COILOVERS STREET ADVANCE Z,STREET-ADVANCE-Z
Tein,804,VSH92-C1SA3,HONDA PRELUDE BB1 TEIN COILOVERS FLEX Z,FLEX-Z
Tein,180,SKA30-S3B00,HONDA PRELUDE BB6 TEIN SPRINGS S.TECH,STECH
Tein,3000,DSH64-81LS1,HONDA S2000 AP1 TEIN COILOVERS SUPER RACING,SUPER-RACING
Tein,1320,GSH64-71SS3,HONDA S2000 AP1 TEIN COILOVERS MONO SPORT,MONO-SPORT
Tein,804,VSH64-C1SS3,HONDA S2000 AP1 TEIN COILOVERS FLEX Z,FLEX-Z
Tein,1560,VSH64-K1LS3,HONDA S2000 AP1 TEIN COILOVERS MONO RACING,MONO-RACING
Tein,156,SKA58-AVB00,HONDA S2000 AP1 TEIN SPRINGS S.TECH,STECH
Tein,732,GSB18-81AS2,HONDA STEP WGN RG1 TEIN COILOVERS STREET BASIS Z,STREET-BASIS-Z
Tein,732,GSB98-81AS2,HONDA STEP WGN RK1 TEIN COILOVERS STREET BASIS Z,STREET-BASIS-Z
Tein,924,VSB98-C1AS3,HONDA STEP WGN RK1 TEIN COILOVERS FLEX Z,FLEX-Z
Tein,432,VSA50-A1DS2,HONDA ACCORD CM5 TEIN  ABSORBERS ENDURAPRO,ENDURAPRO
Tein,504,VSA50-B1DS2,HONDA ACCORD CM5 TEIN  ABSORBERS ENDURAPRO PLUS,ENDURAPRO-PLUS
Tein,504,VSA00-B1DS2,HONDA CIVIC EH2 TEIN  ABSORBERS ENDURAPRO PLUS,ENDURAPRO-PLUS
Tein,432,VSH98-A1DS2,HONDA CIVIC EJ6/EK4 TEIN  ABSORBERS ENDURAPRO,ENDURAPRO
Tein,504,VSH98-B1DS2,HONDA CIVIC EJ6/EK4 TEIN  ABSORBERS ENDURAPRO PLUS,ENDURAPRO-PLUS
Tein,516,VSA22-A1DS2,HONDA CIVIC EM2 01-02 TEIN  ABSORBERS ENDURAPRO,ENDURAPRO
Tein,588,VSA22-B1DS2,HONDA CIVIC EM2 01-02 TEIN  ABSORBERS ENDURAPRO PLUS,ENDURAPRO-PLUS
Tein,552,VSA84-A1DS2,HONDA CIVIC EM2 03-05 TEIN  ABSORBERS ENDURAPRO,ENDURAPRO
Tein,624,VSA84-B1DS2,HONDA CIVIC EM2 03-05 TEIN  ABSORBERS ENDURAPRO PLUS,ENDURAPRO-PLUS
Tein,456,VSHH6-A1DS2,HONDA CIVIC FC1 TEIN  ABSORBERS ENDURAPRO,ENDURAPRO
Tein,528,VSHH6-B1DS2,HONDA CIVIC FC1 TEIN  ABSORBERS ENDURAPRO PLUS,ENDURAPRO-PLUS
Tein,456,VSHH8-A1DS2,HONDA CIVIC FK7 TEIN  ABSORBERS ENDURAPRO,ENDURAPRO
Tein,528,VSHH8-B1DS2,HONDA CIVIC FK7 TEIN  ABSORBERS ENDURAPRO PLUS,ENDURAPRO-PLUS
Tein,480,VSB64-A1DS2,HONDA CR-V RE1 TEIN  ABSORBERS ENDURAPRO,ENDURAPRO
Tein,552,VSB64-B1DS2,HONDA CR-V RE1 TEIN  ABSORBERS ENDURAPRO PLUS,ENDURAPRO-PLUS
Tein,480,VSHD0-A1DS2,HONDA CR-V RM2 TEIN  ABSORBERS ENDURAPRO,ENDURAPRO
