Brand; Price Ex VAT £ ; Price Ex VAT € ; Price Ex VAT $ ;Reference;Name;Package size in cm;Filter Type
Eventuri; £541,00 ; € 630,00 ; $650,00 ;EVE-C8RS6-CF-ENG;Audi C8 RS6 RS7 Black Carbon Engine Cover Gloss;71x66x13;
Eventuri; £541,00 ; € 630,00 ; $650,00 ;EVE-C8RS6-CFM-ENG;Audi C8 RS6 RS7 Black Carbon Engine Cover Matte;71x66x13;
Eventuri; £65,00 ; € 70,00 ; $75,00 ;EVE-C8RS6-PCV;Audi C8 RS6 2023 Breather Adapter Kit;10x10x10;
Eventuri; £2 380,00 ; € 2 719,00 ; $2 855,00 ;EVE-4V8TT-CF-INT;Audi RSQ7 / RSQ8 2020+ 4 TFSI V8 Twin Turbo Intake;97x76x22;L2
Eventuri; £2 083,00 ; € 2 210,00 ; $2 500,00 ;EVE-HCN-CF-INT;Audi R8 V10 4S 2015+;92x31x40;B
Eventuri; £2 380,00 ; € 2 719,00 ; $2 855,00 ;EVE-4V8TT-CF-INT;Bentayga 4 TFSI V8 Twin Turbo Intake ;97x76x22;L2
Eventuri; £1 083,00 ; € 1 238,00 ; $1 300,00 ;EVE-B58-CF-INT;BMW B58 M140i, M240i, M340i Black Carbon intake;71x38x35;B
Eventuri; £541,00 ; € 619,00 ; $650,00 ;EVE-B58F-CF-ENG;BMW B58 M140i, M240i, M340i  F Series Carbon Engine Cover;72x72x21;
Eventuri; £1 083,00 ; € 1 238,00 ; $1 300,00 ;EVE-E39-INT;BMW E39 M5 Black Carbon intake;92x31x40;B
Eventuri; £812,00 ; € 928,00 ; $975,00 ;EVE-E46-INT;BMW E46 M3 Black Carbon intake;38x38x38;B
Eventuri; £155,00 ; € 176,00 ; $185,00 ;EVE-E46-SC;BMW E46 M3 Carbon Scoop ;TBC;
Eventuri; £1 133,00 ; € 1 295,00 ; $1 360,00 ;EVE-E60-CF-INT;BMW E6X M5/M6 Black Carbon intake;38x38x38;B
Eventuri; £725,00 ; € 828,00 ; $870,00 ;EVE-E9X-CF-INT;BMW E9X M3 Black Carbon intake Gloss;38x38x30;E
Eventuri; £725,00 ; € 828,00 ; $870,00 ;EVE-E9X-CFM-INT;BMW E9X M3 Black Carbon intake Matte;38x38x30;E
Eventuri; £1 958,00 ; € 2 238,00 ; $2 350,00 ;EVE-E9X-CF-PLM;BMW E9X M3 Carbon Inlet Plenum Gloss;77x27x67;
Eventuri; £1 958,00 ; € 2 238,00 ; $2 350,00 ;EVE-E9X-CFM-PLM;BMW E9X M3 Carbon Inlet Plenum Matte;77x27x67;
Eventuri; £500,00 ; € 571,00 ; $600,00 ;EVE-E9X-CF-ARB;BMW E9X M3 Carbon Airbox Lid Gloss;68x38x15;
Eventuri; £500,00 ; € 571,00 ; $600,00 ;EVE-E9X-CFM-ARB;BMW E9X M3 Carbon Airbox Lid Matte;68x38x15;
Eventuri; £695,00 ; € 795,00 ; $835,00 ;EVE-E9X-CF-DCT;BMW E9X M3 Carbon Duct Set Gloss;52x37x16;
Eventuri; £695,00 ; € 795,00 ; $835,00 ;EVE-E9X-CFM-DCT;BMW E9X M3 Carbon Duct Set Matte;52x37x16;
Eventuri; £691,00 ; € 790,00 ; $830,00 ;EVE-S55-CF-CHG;BMW S55 Carbon Chargepipes - Set of 2 Upper Chargepipes;52x37x16;
Eventuri; £1 040,00 ; € 1 190,00 ; $1 250,00 ;EVE-S62-CF-PLM;BMW S62 V8 Carbon Plenum Lid for E39 M5 and Z8;72x72x21;
Eventuri; £2 080,00 ; € 2 392,00 ; $2 600,00 ;EVE-F8XMV2-CF-INT;BMW F8X M3/M4 V2 Full Black Carbon intake with SEALED Carbon ducts;92x31x40;S
Eventuri; £916,00 ; € 1 047,00 ; $1 100,00 ;EVE-F8XM-CF-SBC;BMW F8X M3/M4 Black Carbon Seat Back Covers;92x31x40;
Eventuri; £625,00 ; € 714,00 ; $750,00 ;EVE-F8XM-CF-ENG;BMW F8X M3/M4 Black Carbon  Engine Cover;68x38x15;
Eventuri; £1 833,00 ; € 2 095,00 ; $2 200,00 ;EVE-F9XM5M8-CF-INT;BMW F9X M5/M8 Black Carbon intake with shrouds;71x38x35;B
Eventuri; £250,00 ; € 285,00 ; $300,00 ;EVE-F90M5-CF-SHR;BMW F9X M5 Shroud set for upgrading V1 intake;26x26x26;B
Eventuri; £570,00 ; € 630,00 ; $630,00 ;EVE-F9XM5M8-CHG;BMW F9X M5/M8 Turbo Inlets;26x26x26;
Eventuri; £1 800,00 ; € 2 110,00 ; $2 300,00 ;EVE-F10M5-INT;BMW F10 M5 Full Black Carbon intake;92x31x40;B
Eventuri; £1 950,00 ; € 2 250,00 ; $2 450,00 ;EVE-F1XM6-INT;BMW F1X M6 Full Black Carbon intake;92x31x40;B
Eventuri; £1 083,00 ; € 1 238,00 ; $1 300,00 ;EVE-F4XB48-CF-INT;BMW F40 M135i, F44 M235i;92x22x40;S
Eventuri; £1 720,00 ; € 1 980,00 ; $2 150,00 ;EVE-M2C-CF-INT;BMW F87 M2 Competition Black Carbon intake;92x22x40;S
Eventuri; £1 150,00 ; € 1 314,00 ; $1 380,00 ;EVE-N55V2-CF-INT;V2 BMW F87 M2, F2X M135i, M235i, F3X 335i, 435i Carbon intake;71x38x35;B
Eventuri; £708,00 ; € 810,00 ; $850,00 ;EVE-N55-ENG;BMW N55 Black Carbon Engine Cover;72x72x21;
Eventuri; £708,00 ; € 810,00 ; $850,00 ;EVE-N55-M2-ENG;BMW F87 M2 Black Carbon Engine Cover;72x72x21;
Eventuri; £1 166,00 ; € 1 333,00 ; $1 400,00 ;EVE-FX34M-CF-INT;BMW F9X X3M/X4M Carbon Intake System;72x72x21;X3M
Eventuri; £1 166,00 ; € 1 333,00 ; $1 400,00 ;EVE-FX34M-LCI-INT;BMW F9X X3M/X4M Carbon Intake System - LCI Version;72x72x21;X3M
Eventuri; £708,00 ; € 810,00 ; $850,00 ;EVE-Z4M-INT;BMW Z4M Black Carbon intake;38x38x38;B
Eventuri; £1 166,00 ; € 1 333,00 ; $1 400,00 ;EVE-G20B48-V1-INT;BMW G20 B48/B46 Intake System - Pre 2018 November;71x38x35;L
Eventuri; £1 166,00 ; € 1 333,00 ; $1 400,00 ;EVE-G20B48-V2-INT;BMW G20/G42 B48/B46 Intake System - Post 2018 November;71x38x35;L
Eventuri; £1 166,00 ; € 1 333,00 ; $1 400,00 ;EVE-G20B58-V1-INT;BMW G20 B58 Intake System - Pre 2018 November;71x38x35;L
Eventuri; £1 166,00 ; € 1 333,00 ; $1 400,00 ;EVE-G20B58-V2-INT;BMW G20/G42 B58 Intake System - Post 2018 November;71x38x35;L
Eventuri; £500,00 ; € 571,00 ; $600,00 ;EVE-G20B48-CF-ENG;BMW G20, G29 Z4, B48 Engine Cover;72x72x21;
Eventuri; £1 166,00 ; € 1 333,00 ; $1 400,00 ;EVE-Z4B58-CF-INT;BMW G29 Z4 M40i B58 Carbon Intake;38x38x38;L
Eventuri; £1 166,00 ; € 1 333,00 ; $1 400,00 ;EVE-G29Z4-B48-INT;BMW G29 Z4 2 B48 Carbon Intake;71x38x35;L
Eventuri; £820,00 ; € 900,00 ; $900,00 ;EVE-G8XM-CF-ENG;BMW G8X M3/M4/CSL Carbon Engine Cover - Gloss Finish;72x72x21;
Eventuri; £820,00 ; € 900,00 ; $900,00 ;EVE-G8XM-CFM-ENG;BMW G8X M3/M4/CSL Carbon Engine Cover - Matte Finish;72x72x21;
Eventuri; £2 320,00 ; € 2 650,00 ; $2 895,00 ;EVE-G8XMV2-CF-INT;BMW G8X M3/M4 Carbon Intake for all strut braces - Gloss Finish;64x44x45;D2
Eventuri; £2 320,00 ; € 2 650,00 ; $2 895,00 ;EVE-G8XMV2-CFM-INT;BMW G8X M3/M4 Carbon Intake for all strut braces - Matte Finish;64x44x45;D2
Eventuri; £530,00 ; € 620,00 ; $650,00 ;EVE-G8XCSL-CF-KIT;Conversion kit for G8X M3/M4 intake for CSL Strut Brace - Gloss;70x37x27;
Eventuri; £530,00 ; € 620,00 ; $650,00 ;EVE-G8XCSL-CFM-KIT;Conversion kit for G8X M3/M4 intake for CSL Strut Brace - Matte;70x37x27;
Eventuri; £1 900,00 ; € 2 280,00 ; $2 280,00 ;EVE-C8VT-CF-INT;C8 Corvette Stingray Coupe Carbon Intake ;110x52x42;D2
Eventuri; £1 900,00 ; € 2 280,00 ; $2 280,00 ;EVE-C8HTC-CF-INT;C8 Corvette Stingray Hard Top Convertible Carbon Intake ;110x52x42;D2
Eventuri; £460,00 ; € 550,00 ; $550,00 ;EVE-C8VT-CF-ENG;C8 Corvette Stingray Carbon Engine Cover ;72x42x17;
Eventuri; £208,00 ; € 238,00 ; $250,00 ;EVE-FK2-CF-MAF;Honda FK2 Black Carbon MAF-TUBE and silicone hose;49x15x12;
Eventuri; £1 058,00 ; € 1 209,00 ; $1 270,00 ;EVE-FK2V2-CF-LHD-INT;V2 FK2 Civic Type R LHD Carbon intake with upgraded Carbon Tube;38x38x38;S
Eventuri; £1 058,00 ; € 1 209,00 ; $1 270,00 ;EVE-FK2V2-CF-RHD-INT;V2 FK2 Civic Type R RHD Carbon intake with upgraded Carbon Tube;38x38x38;S
Eventuri; £417,00 ; € 476,00 ; $500,00 ;EVE-FK8FK2-ENG;FK8 and FK2 Engine Cover Red and Black;68x38x15;S
Eventuri; £583,00 ; € 665,00 ; $700,00 ;EVE-FK2-CF-CHG;FK2 Carbon Turbo Tube for Customers with FK2 V2 Intake;52x37x16;
Eventuri; £733,00 ; € 838,00 ; $880,00 ;EVE-FK2V2-CF-CHG;FK2 Carbon Turbo Tube Package with V2 MAF Tube;52x37x16;
Eventuri; £1 208,00 ; € 1 380,00 ; $1 450,00 ;EVE-FK8-CF-INT;FK8 Civic Type R Black Carbon intake;71x38x35;S
Eventuri; £287,00 ; € 328,00 ; $345,00 ;EVE-FK8V2-CF-MAF;FK8 Carbon V2 MAF Tube and Silicon Set;49x15x12;
Eventuri; £416,00 ; € 476,00 ; $500,00 ;EVE-FK8FK2-ENG;FK8 and FK2 Engine Cover Red and Black;68x38x15;
Eventuri; £583,00 ; € 665,00 ; $700,00 ;EVE-FK8-CF-CHG;FK8 Carbon Turbo Tube for customers with V2 MAF tube;52x37x16;
Eventuri; £733,00 ; € 838,00 ; $880,00 ;EVE-FK8V2-CF-CHG;FK8 Carbon Turbo Tube Package with V2 MAF Tube;52x37x16;
Eventuri; £2 083,00 ; € 2 210,00 ; $2 500,00 ;EVE-HCN-CF-INT;Lamborghini Huracan Carbon Intake;92x31x40;B
Eventuri; £3 750,00 ; € 4 350,00 ; $4 500,00 ;EVE-HCN-CFM-ENG;Lamborghini Huracan Carbon Engine Cover Set Matte Finish;152x76x20;
Eventuri; £2 380,00 ; € 2 719,00 ; $2 855,00 ;EVE-4V8TT-CF-INT;Lamborghini Urus Intake System;97x76x22;L2
Eventuri; £1 083,00 ; € 1 238,00 ; $1 300,00 ;EVE-A35-CF-INT;Mercedes A35 AMG, GLA35, GLB35, A250 Carbon Intake;71x38x35;L
Eventuri; £625,00 ; € 714,00 ; $750,00 ;EVE-A35-CF-CHG;Mercedes A35 AMG, GLA35, GLB35, Turbo Tube;68x38x16;
Eventuri; £1 166,00 ; € 1 333,00 ; $1 400,00 ;EVE-A45S-CF-INT;Mercedes A45S CLA45S GLA45 GLB45 AMG Carbon Intake ;38x38x38;D2
Eventuri; £2 083,00 ; € 2 380,00 ; $2 500,00 ;EVE-AMGGT-CF-INT;Mercedes C190/R190 AMG GTR, GTS, GT GLOSS Finish;77x67x27;B
Eventuri; £2 083,00 ; € 2 380,00 ; $2 500,00 ;EVE-AMGGT-CFM-INT;Mercedes C190/R190 AMG GTR, GTS, GT MATTE Finish;77x67x27;B
Eventuri; £2 375,00 ; € 2 714,00 ; $2 850,00 ;EVE-C63S-CF-INT;Mercedes all X205 C63/C63S variants, AMG Carbon intake;64x44x45;C
Eventuri; £141,00 ; € 162,00 ; $170,00 ;EVE-C63S-DCT;C63S Carbon Duct upgrade package;26x26x26;
Eventuri; £2 375,00 ; € 2 714,00 ; $2 850,00 ;EVE-GLC63S-CF-INT;Mercedes GLC63S carbon intake ;64x44x45;C
Eventuri; £1 350,00 ; € 1 542,00 ; $1 620,00 ;EVE-JCWGP3-INT;Mini JCW GP3 / Clubman / JCW 306HP Carbon Intake;92x22x40;S
Eventuri; £1 141,00 ; € 1 305,00 ; $1 370,00 ;EVE-F60-306-INT;Mini JCW Countryman 306HP Carbon Intake with no scoop;92x22x40;S
Eventuri; £1 350,00 ; € 1 542,00 ; $1 620,00 ;EVE-F56-CF-INT;Mini Cooper S / JCW Black Carbon intake;92x22x40;S
Eventuri; £1 350,00 ; € 1 542,00 ; $1 620,00 ;EVE-F56-LCI-CF-INT;Mini Cooper S / JCW Facelift Black Carbon intake;92x22x40;S
Eventuri; £833,00 ; € 952,00 ; $1 000,00 ;EVE-F56-PL-INT;Mini Cooper S / JCW Plastic intake with Carbon Scoop;92x22x40;S
Eventuri; £833,00 ; € 952,00 ; $1 000,00 ;EVE-F56-LCI-PL-INT;Mini Cooper S / JCW Facelift Plastic intake with Carbon Scoop;92x22x40;S
Eventuri; £1 141,00 ; € 1 304,00 ; $1 370,00 ;EVE-F60-CF-INT;MINI Countryman S Black Carbon intake with no scoop;92x22x40;S
Eventuri; £1 141,00 ; € 1 304,00 ; $1 370,00 ;EVE-F60-LCI-CF-INT;MINI Countryman S Facelift Black Carbon intake with no scoop;92x22x40;S
Eventuri; £583,00 ; € 665,00 ; $700,00 ;EVE-F60-PL-INT;MINI Countryman S Plastic intake with no scoop;92x22x40;S
Eventuri; £583,00 ; € 665,00 ; $700,00 ;EVE-F60-LCI-PL-INT;MINI Countryman S Facelift Plastic intake with no scoop;92x22x40;S
Eventuri; £1 958,00 ; € 2 238,00 ; $2 350,00 ;EVE-P991T-INT;Porsche 991 Turbo Black Carbon intake;92x31x40;S
Eventuri; £1 958,00 ; € 2 238,00 ; $2 350,00 ;EVE-GT3RS-INT;Porsche 991.1 991.2 GT3RS Carbon Intake;92x31x40;D2
Eventuri; £2 380,00 ; € 2 719,00 ; $2 855,00 ;EVE-4V8TT-CF-INT;Porsche Cayenne 2020+ GTS, 2019+ Turbo S 4 TFSI Intake;97x76x22;L2
Eventuri; £775,00 ; € 885,00 ; $930,00 ;EVE-2TFSI-CF-INT;Leon Cupra 2 TFSI- Full Black Carbon intake;38x38x38;B
Eventuri; £1 166,00 ; € 1 333,00 ; $1 400,00 ;EVE-EA8884-GTi-INT;MK4 Leon Cupra Formentor 2 VZ1 245hp 2020+ Carbon intake;92x31x40;D2
Eventuri; £1 166,00 ; € 1 333,00 ; $1 400,00 ;EVE-EA8884-R-INT;MK4 Leon Cupra Formentor 2 VZ2 300hp 2020+ Carbon intake;92x31x40;D2
Eventuri; £1 500,00 ; € 1 714,00 ; $1 800,00 ;EVE-ST38Y-CF-INT;MK4 Leon Cupra Formentor 2 VZ5 390hp 2020+ Carbon intake;92x31x40;D2
Eventuri; £1 166,00 ; € 1 333,00 ; $1 400,00 ;EVE-A90-CF-INT;Toyota MK5 3 B58 Supra Carbon Intake;38x38x38;L
Eventuri; £1 166,00 ; € 1 333,00 ; $1 400,00 ;EVE-A90B48-INT;Toyota MK5 2 B48 Supra Carbon Intake;92x22x40;L
Eventuri; £691,00 ; € 790,00 ; $830,00 ;EVE-A90-CF-HDP;Toyota MK5 Supra Carbon Headlamp Duct;72x72x21;
Eventuri; £500,00 ; € 570,00 ; $600,00 ;EVE-A90-CF-ENG;Toyota MK5 Supra Carbon Engine cover;92x22x40;
Eventuri; £500,00 ; € 570,00 ; $600,00 ;EVE-GR4-CF-ENG;Toyota GR Yaris/Corolla Carbon Engine Cover - Gloss;68x38x15;
Eventuri; £500,00 ; € 570,00 ; $600,00 ;EVE-GR4-CFM-ENG;Toyota GR Yaris/Corolla Carbon Engine Cover - Matte;68x38x15;
Eventuri; £1 120,00 ; € 1 300,00 ; $1 400,00 ;EVE-GR4-CF-INT;Toyota GR Yaris Carbon Intake - Gloss;71x38x35;D
Eventuri; £1 120,00 ; € 1 300,00 ; $1 400,00 ;EVE-GR4-CFM-INT;Toyota GR Yaris Carbon Intake - Matte;71x38x35;D
Eventuri; £1 240,00 ; € 1 440,00 ; $1 550,00 ;EVE-GR4CR-CF-INT;Toyota GR Corolla Carbon Intake - Gloss;71x38x35;D
Eventuri; £1 240,00 ; € 1 440,00 ; $1 550,00 ;EVE-GR4CR-CFM-INT;Toyota GR Corolla Carbon Intake - Matte;71x38x35;D
Eventuri; £775,00 ; € 885,00 ; $930,00 ;EVE-2TFSI-CF-INT;Golf MK7 GTi, R Carbon intake;38x38x38;B
Eventuri; £1 166,00 ; € 1 333,00 ; $1 400,00 ;EVE-EA8884-R-INT;Golf MK8 R, Gti Clubsport Carbon intake;92x31x40;D2
Eventuri; £1 166,00 ; € 1 333,00 ; $1 400,00 ;EVE-EA8884-GTI-INT;Golf MK8 Gti Carbon intake;92x31x40;D2
Eventuri; £500,00 ; € 570,00 ; $600,00 ;EVE-EA8884-CF-ENG;Golf MK8 Engine Cover;68x38x15;
Eventuri; £25,00 ; € 28,00 ; $30,00 ;EVE-FLC;Filter Cleaning Kit;TBC;
Eventuri; £75,00 ; € 85,00 ; $90,00 ;EVE-151-G2-FTR;Replacement Filter TYPE S;19x16x16;S
Eventuri; £75,00 ; € 85,00 ; $90,00 ;EVE-661-G2-FTR;Replacement Filter TYPE B;19x18x18;B
Eventuri; £75,00 ; € 85,00 ; $90,00 ;EVE-991-FTR ;Replacement Filter TYPE E;26x26x26;E
Eventuri; £83,00 ; € 95,00 ; $100,00 ;EVE-W210-FTR ;Replacement Filter TYPE D;25x24x20;D
Eventuri; £75,00 ; € 85,00 ; $90,00 ;EVE-15144-G2-FTR;Replacement Filter TYPE L;24x18x17;L
Eventuri; £83,00 ; € 95,00 ; $100,00 ;EVE-W192-FTR ;Replacement Filter TYPE D2;25x24x20;D2
Eventuri; £75,00 ; € 85,00 ; $90,00 ;EVE-1046-FTR;Replacement Filter TYPE L2;24x18x17;L2
Eventuri; £51,00 ; € 59,00 ; $62,00 ;EVE-E46-PF;BMW E46 M3 Panel Filter Pair;30x21x4;
Eventuri; £100,00 ; € 114,00 ; $120,00 ;EVE-F8XM-PF;BMW F8X M3/M4 Panel Filter Pair;45x25x6;
Eventuri; £100,00 ; € 114,00 ; $120,00 ;EVE-F10M5-PF;BMW F1X M5/M6 Panel Filter Pair;45x25x6;
Eventuri; £70,00 ; € 81,00 ; $85,00 ;EVE-N55-PF;BMW N55 Panel Filter ;31x27x5;
Eventuri; £166,00 ; € 190,00 ; $200,00 ;EVE-FX34M-PF;BMW F9X X3M/X4M Panel Filter Replacement Set;33x14x12;X3M
Eventuri; £100,00 ; € 114,00 ; $120,00 ;EVE-C63-FTR;Panel Filter for Eventuri GLC63S / C63S Intake set of 2;30x20x8;C
Eventuri; £220,00 ; € 252,00 ; $265,00 ;EVE-C8BMC-FTR;Custom BMC Panel Filter For C8 RS6 Intake;;C8
Eventuri; £12,00 ; € 14,00 ; $15,00 ;EVE-Vbadge;V Badge;18x18x2;
Eventuri; £62,00 ; € 71,00 ; $75,00 ;EVE-F56-MAF;Mini Cooper S/JCW MAF tube;10x10x10;
Eventuri; £62,00 ; € 71,00 ; $75,00 ;EVE-F56-LCI-MAF;Mini Cooper S/JCW Facelift MAF tube;10x10x10;
Eventuri; £62,00 ; € 71,00 ; $75,00 ;EVE-FK8-CHG-SLC;Honda FK8 Silicon between Intake and Upgraded Chargepipe;;
Eventuri;;;;;;;
Eventuri;;;;;;;
Eventuri;;;;;;;
Eventuri;;;;;;;
Eventuri;;;;;;;
